epoch,loss
0,59.92097091674805
1,50.63908386230469
2,40.652652740478516
3,56.88064956665039
4,44.00559616088867
5,43.527992248535156
6,33.0958366394043
7,34.859683990478516
8,26.694761276245117
9,33.962440490722656
10,24.283878326416016
11,27.280532836914062
12,30.34479331970215
13,24.110254287719727
14,21.26323699951172
15,19.451610565185547
16,20.850868225097656
17,20.29713249206543
18,13.634275436401367
19,12.518634796142578
20,19.978925704956055
21,12.640281677246094
22,10.385109901428223
23,13.055986404418945
24,13.789559364318848
25,14.922090530395508
26,9.469558715820312
27,7.185924530029297
28,3.5933330059051514
29,5.473178386688232
30,7.608877182006836
31,3.7282674312591553
32,5.14229679107666
33,4.027538776397705
34,3.5405964851379395
35,3.1404144763946533
36,2.732400894165039
37,4.457248687744141
38,2.375932216644287
39,4.196873664855957
40,4.206400394439697
41,4.360766887664795
42,2.5874249935150146
43,2.3298938274383545
44,1.438553810119629
45,2.2871041297912598
46,1.466280221939087
47,1.590280294418335
48,2.2787675857543945
49,1.4590537548065186
50,2.0941734313964844
51,1.3385014533996582
52,1.365359902381897
53,1.336930274963379
54,1.2705236673355103
55,1.2779755592346191
56,1.4456768035888672
57,1.2709333896636963
58,1.1753482818603516
59,1.2081005573272705
60,1.1842191219329834
61,1.2491424083709717
62,1.2530184984207153
63,1.219236969947815
64,1.225130558013916
65,1.2328975200653076
66,1.2495753765106201
67,1.2533494234085083
68,1.2562729120254517
69,1.2613589763641357
70,1.2780964374542236
71,1.279504418373108
72,1.2874438762664795
73,1.2919511795043945
74,1.3074955940246582
75,1.3030339479446411
76,1.3133125305175781
77,1.326806902885437
78,1.3303184509277344
79,1.3370150327682495
80,1.3462677001953125
81,1.3525769710540771
82,1.3643958568572998
83,1.3617156744003296
84,1.3802982568740845
85,1.37378990650177
86,1.3771504163742065
87,1.385961890220642
88,1.3921314477920532
89,1.4040541648864746
90,1.4163265228271484
91,1.4239898920059204
92,1.429778814315796
93,1.4226387739181519
94,1.42970609664917
95,1.4518113136291504
96,1.4487555027008057
97,1.450607180595398
98,1.4485065937042236
